# Référentiel — nomenclature des catégories d'établissements FINESS
# (domaine "categorie_etablissement", champ etablissement.code_categorie /
# entite_juridique.code_categorie du pivot ; source JSON FINESS :
# categorieentiteGeographiqueExercice).
#
# Source : DREES/DMSI, documentation FINESS.
#   Dataset data.gouv.fr « FINESS - Extraction des principales nomenclatures »
#   (producteur : Ministère chargé de la Santé) :
#   https://www.data.gouv.fr/datasets/finess-extraction-des-principales-nomenclatures/
#   Ressources utilisées :
#     - « Catégories ouvertes - Caractéristiques » (situation au 01-06-2021)
#       https://static.data.gouv.fr/resources/finess-extraction-des-principales-nomenclatures/20210625-130441/categories-ouvertes-caracteristiques.pdf
#     - « Catégories fermées » (situation au 08-06-2021)
#       https://static.data.gouv.fr/resources/finess-extraction-des-principales-nomenclatures/20210625-130947/categories-fermees.pdf
# Date d'extraction dans ce dépôt : 2026-08-18.
#
# Couverture : 274 codes (151 catégories ouvertes + 123 catégories fermées),
# sur les 300 valeurs distinctes de code_categorie observées dans un extrait
# réel FINESS-Structures (millésime 202607 ; cf.
# artefacts/01_INVENTAIRE_CODES_202607.csv, domaine categorie_etablissement).
# Les 40 codes non couverts (ex. la série 60x-65x apparue après 2021) ne sont
# pas devinés : ils restent absents du référentiel et sont donc signalés
# explicitement par nomenclatures.resoudre_categorie, jamais approximés.
# Le code 259 est volontairement omis : son libellé est tronqué en plein mot
# dans le document source ("...Pension de Fami"), à la différence des autres
# libellés de 60 caractères qui se terminent tous sur une frontière de mot ;
# faute de pouvoir vérifier la fin exacte, il n'est pas complété par hypothèse.
#
# Colonnes :
#   code            code catégorie FINESS, tel qu'émis par la source (aucun
#                   remplissage de zéros, aucune transformation).
#   libelle         libellé long officiel de la catégorie.
#   statut          "ouverte" si la catégorie est utilisable pour une nouvelle
#                   création à la date de la source, "fermee" sinon. Une
#                   catégorie fermée peut néanmoins subsister sur des
#                   établissements existants non encore requalifiés.
#   date_fermeture  date de fermeture de la catégorie (AAAA-MM-JJ), renseignée
#                   uniquement pour les catégories fermées.
code;libelle;statut;date_fermeture
001;Autres lits de m.R.;fermee;1999-09-15
002;Autres places de l-f.;fermee;1999-09-15
003;Autres lits de l-s;fermee;1999-09-15
101;Centre Hospitalier Régional (C.H.R.);ouverte;
106;Centre hospitalier, ex Hôpital local;ouverte;
108;Etablissement de Convalescence et de Repos;fermee;2013-06-25
109;Etablissement de santé privé autorisé en SSR;ouverte;
112;Centre de Convalescence Cure ou Réadaptation;fermee;1999-09-15
114;Hôpital des armées;ouverte;
115;Etablissement de Soins du Service de Santé des Armées;ouverte;
119;Maison de Régime;fermee;2013-06-25
122;Etablissement Soins Obstétriques Chirurgico-Gynécologiques;ouverte;
124;Centre de Santé;ouverte;
125;Centre de Santé Dentaire;fermee;2013-12-19
126;Etablissement Thermal;ouverte;
127;Hospitalisation à Domicile;ouverte;
128;Etablissement de Soins Chirurgicaux;ouverte;
129;Etablissement de Soins Médicaux;ouverte;
130;Centre de Soins Médicaux;fermee;2013-12-19
131;Centre de Lutte Contre Cancer;ouverte;
132;Etablissement de Transfusion Sanguine;ouverte;
135;Etablissement Réadaptation Fonctionnelle;fermee;2013-06-25
136;Banque de Sperme;fermee;1999-09-15
137;Banque d'Organes;fermee;1999-09-15
138;Centre de Dialyse Périodique;fermee;2002-02-18
139;Centre de Dialyse et d'entraînement à la Dialyse;fermee;2002-02-18
140;Centre d'Entraînement à la Dialyse;fermee;2002-02-18
141;Centre de dialyse;ouverte;
142;Dispensaire Antituberculeux;ouverte;
143;Centre de Vaccination BCG;ouverte;
144;Etablissement de Lutte Contre la Tuberculose;fermee;2013-06-25
146;Structure d'Alternative à la dialyse en centre;ouverte;
156;Centre Médico-Psychologique (C.M.P.);ouverte;
157;Centre de Postcure;fermee;1994-09-19
159;Centre parental;ouverte;
160;Centre de Soins Spécifiques pour Toxicomanes (C.S.S.T.);fermee;2012-12-31
161;Maison de Santé pour Maladies Mentales;ouverte;
162;Centre de Cure Ambulatoire en Alcoologie (C.C.A.A.);fermee;2012-12-31
163;Maison d'Enfants à Caractère Sanitaire Temporaire;fermee;2013-06-25
